Now,Wed Sep 17 2025 22:11:01 GMT+0800 (Philippine Standard Time),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
30,gandara,gandarazevach,https://www.tiktok.com/@gandarazevach,😂,4-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/a827890b22f156b4fb4cac85c5050e72~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d0939bcb&x-expires=1758204000&x-signature=XqLgnI7Y8EnVxtEM4dCwx%2BT2wuw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,Zack'N Zayn Shop,0
31,Jayson Despacio,jayson.despacio,https://www.tiktok.com/@jayson.despacio,kung di pa babahain Ang mga ibang Lugar di pa malalaman Ang mga corrupt na mga contractor🤦🤦🤦Ang Tanong makulong kaya Ang mga corrupt na mga contractor🤔🤔🤔,2-9-2025,2,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4ffb9b7fdcdd5d53073ac7ec23860536~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=81fbcf8b&x-expires=1758204000&x-signature=Rc1QV8aZQlnCdC5wOV0SZFxIvsk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
32,bberry.luvrism,saixy_xail,https://www.tiktok.com/@saixy_xail,TAMA TAMA,1-9-2025,5,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ca55469f101a31dca1a149119c1e7d2d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f48d88ec&x-expires=1758204000&x-signature=91h8yIfDmKeZJfUGpJZZkFuQH74%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,1
33,Prince Gabriel Alexander 13,prince.gabriel.al7,https://www.tiktok.com/@prince.gabriel.al7,😝,2-9-2025,2,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2ba090d43fabe5cadd163fd000e2948d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2c654395&x-expires=1758204000&x-signature=6lFzaXXssn4U897y0fhPTS2oXLA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,bberry.luvrism,0
34,JR Maninang,jrmaninangninong_0,https://www.tiktok.com/@jrmaninangninong_0,Future millionaires liked this comment,2-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3495d0d5c567475143d168b882a21418~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6a81243a&x-expires=1758204000&x-signature=z06F9YUr4hpJvWtvMcy%2BbWMfmB0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
35,Yakult,iconicyakult,https://www.tiktok.com/@iconicyakult,YES TAMA YAN,1-9-2025,11,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5177823debdd7cfc96046ceda6c237d3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5ace0d50&x-expires=1758204000&x-signature=jl5HN4aUN4fUqap%2F2xdZGZGTz9Y%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
36,Princess,princesceyy,https://www.tiktok.com/@princesceyy,edit yarn?,4-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/dbe62cb8310ba00a3cdbe51ffc70a515~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=03dea976&x-expires=1758204000&x-signature=q6fLHUK6ar1VwK0xPGKywoFMS94%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
37,Maeryl 🩺🇶🇦🇵🇭,mayang_303,https://www.tiktok.com/@mayang_303,"REPEAT AFTER ME📣📣📣📣📣📣📣
Normalize public shaming and calling out all corrupt politicians and their families who shamelessly flaunt our tax money. Staying silent only protects those who fail us. Let’s raise our voices, shame them, post them, pressure them, ask the hard questions, and demand real solutions from our leaders. We don’t deserve the bare minimum.",4-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2ab0c9c08072db3c9b92057066ec2355~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=44e2905d&x-expires=1758204000&x-signature=lVVVsFG3gVE9TwQqpz5PzRozxk0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
38,Prince Gabriel Alexander 13,prince.gabriel.al7,https://www.tiktok.com/@prince.gabriel.al7,Charge them with necessary charges. Get the balance behind reinvest into ADrich.Mgmt@royalcourt.se / ADrichWorldEnterprise@royalcourt.se / Make profit while get the outstanding job done. Too many involvement. 👍,2-9-2025,5,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2ba090d43fabe5cadd163fd000e2948d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2c654395&x-expires=1758204000&x-signature=6lFzaXXssn4U897y0fhPTS2oXLA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
39,jxtn,softjustyn,https://www.tiktok.com/@softjustyn,,2-9-2025,15,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/aef1e8ede2731747e09d26dce12441db~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a830cb2&x-expires=1758204000&x-signature=USghgJ1v6ZuzUVagv4t%2BgOcvIXo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
40,Evangeline Velasquez,evangeline.velasq81,https://www.tiktok.com/@evangeline.velasq81,bkt nagkulang?dba 40+ un🤣🤣🤣,1-9-2025,18,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6f53c827e43f77026a5722566473be61~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=40609d97&x-expires=1758204000&x-signature=9g0dhU4aVeOzIVF4J5BoqTPS9Z8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
41,frankoceanpogi,frankoceanpogi,https://www.tiktok.com/@frankoceanpogi,"❗️DONT LET THIS ISSUE DIE❗️Normalize public shaming and calling out all corrupt politicians and their families who shamelessly flaunt our tax money. Staying silent only protects those who fail us. Let’s raise our voices, shame them, post them, pressure them, ask the hard questions, and demand real solutions from our leaders. We don’t deserve the bare minimum.💯 GISING PILIPINAS !!",1-9-2025,46,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/0237f513f8ca131f34293270262fbf64~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=969b7fbb&x-expires=1758204000&x-signature=cQARJxovDw%2BpYbSJGdGBdT15S14%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
42,Jeng Jeng,mariajesusamoraga,https://www.tiktok.com/@mariajesusamoraga,parang dinaig pa ang yaman ni emelda,4-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/eca858facaaf8a3d3a8e6009cc58eed4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=27caa985&x-expires=1758204000&x-signature=JUonGyrpWzvThHjfVmne8pXdHXw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
43,Teejay,teejay4281,https://www.tiktok.com/@teejay4281,walang mapapanagot jan..,2-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7251135763553714181~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=928fc3bd&x-expires=1758204000&x-signature=DfwLeybqfFaCv65WDWoqP16Y8dk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
44,shyne,shanaya.1011,https://www.tiktok.com/@shanaya.1011,igigisa lng pero makukulong ba,1-9-2025,13,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c0d6db64d4b24ef66f855f5d8006f0d4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=10fb6021&x-expires=1758204000&x-signature=Lix2jljb%2FGCzxIOiPWLCFd%2BBNcE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
45,Nadia 🦈,nadiarzk,https://www.tiktok.com/@nadiarzk,"REPEAT AFTER ME!!!
Normalize public shaming and calling out all corrupt politicians and their families who shamelessly flaunt our tax money. Staying silent only protects those who fail us. Let’s raise our voices, shame them, post them, pressure them, ask the hard questions, and demand real solutions from our leaders. We don’t deserve the bare minimum.💯 GISING PILIPINAS !!",2-9-2025,4,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2a8beaad54b82c6d9903f7b0815047da~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1814bd7b&x-expires=1758204000&x-signature=puWrvOn8Oj8lDu8gX34akMjWkmM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
46,elaine,elramuel,https://www.tiktok.com/@elramuel,ginisa...may kukulong kaya??,2-9-2025,4,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/3a78a603e0922568d726827d3bdb0231~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c74d7a0a&x-expires=1758204000&x-signature=f0e%2FCl7SzvixzeEreg23kmeZkwU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
47,Terradrone,slydeteriorator,https://www.tiktok.com/@slydeteriorator,"mas marami pa car nila kaysa sa brief ko
(para maiba naman)",2-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c5be85cf9b0eef0de6efb7124b343218~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=367135dc&x-expires=1758204000&x-signature=ZK1pM6b%2BaUAO62561N0W6QnX4JA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
48,Name,nameeeee512,https://www.tiktok.com/@nameeeee512,5 lang nga medyas ko magka ibapa ng kulay🥀😭,2-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4d623a031e7b7d836a3352045e4d924f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=024369bf&x-expires=1758204000&x-signature=zRjzM8hl0j%2B3ynzYhOPkkO%2BRSdg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
49,edelyn,edelyn7065,https://www.tiktok.com/@edelyn7065,naging 28 nalang..yung interview sa kanya ni julius 40 cars,1-9-2025,5,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/cf6a111565bf0e558fd85b9404ae6669~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ed6d39d1&x-expires=1758204000&x-signature=RZXsmgqiGx6UbVNnQ2X4dxSC3tE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,No,---,0
