Now,Wed Sep 17 2025 21:41:20 GMT+0800 (Philippine Standard Time),Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
15,S E M A J,ialonethehonored01,https://www.tiktok.com/@ialonethehonored01,How? e si pbbm ang nagsiwalat sa nakawan sq dpwh at si pbbm ang nagutos kay vince dizon na sawitain yang corruption sa flood control anomaly 🤣,5-9-2025,23,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a92bb852f10da2ad69d0d0ce1cbabd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=13daf29e&x-expires=1758200400&x-signature=11b0nliCYj4o3AKAwrm9sE9pfJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
16,shesh,betluginto,https://www.tiktok.com/@betluginto,panong hindi nya isisiwalat e kitang kita naman yung mga pag Baha kahit napakina nng ulan,5-9-2025,4,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4339322d30c4fa632d6b983a1f191b70~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a0d5456f&x-expires=1758200400&x-signature=ZUXyTl2nTVUShUt06Z7W%2FkqOGD4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
17,S E M A J,ialonethehonored01,https://www.tiktok.com/@ialonethehonored01,"Oo nga tama naman, e kasi ang iba dito sa comment section e parang sinisisi sa pangulo ang nakawan ng mga pondo sa flood control anomaly. samantalang galit ang pangulo dyan hindi nman iinit tong issue na ito kung hindi ito sinabi ng pangulo sa sona nya e",5-9-2025,8,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a92bb852f10da2ad69d0d0ce1cbabd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=13daf29e&x-expires=1758200400&x-signature=11b0nliCYj4o3AKAwrm9sE9pfJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
18,shinhrm,shinnfort1,https://www.tiktok.com/@shinnfort1,ha sa totoo lang di nya na responsibilidad yan e kaya nga may kanya kanyang mayor ay president ang mga bawat lugar para mapadali lahat pero yan ginagawa nila grabe walang awa,5-9-2025,2,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/0d6f774d74431c081d311af7ad79b65f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ce789a22&x-expires=1758200400&x-signature=pul%2FWZur770RKKu9NGnrYuUlk7M%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
19,Bel🤸,gabryle_zerotwo,https://www.tiktok.com/@gabryle_zerotwo,Tactic ba para hindi paghinalaan...,5-9-2025,17,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/66d62fc706fbdcef00e87167f0fa62bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=706042bd&x-expires=1758200400&x-signature=fNF1I7YONOz5Vy8jsEnA%2B%2FtvvO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
20,S E M A J,ialonethehonored01,https://www.tiktok.com/@ialonethehonored01,"Sus dinadaan mo sa tamang hinala e, ebidensya muna🤣, walang resibo edi walang kwenta",5-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a92bb852f10da2ad69d0d0ce1cbabd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=13daf29e&x-expires=1758200400&x-signature=11b0nliCYj4o3AKAwrm9sE9pfJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
21,Bel🤸,gabryle_zerotwo,https://www.tiktok.com/@gabryle_zerotwo,Lalabas din yan... Antayin mo lang.,5-9-2025,3,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/66d62fc706fbdcef00e87167f0fa62bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=706042bd&x-expires=1758200400&x-signature=fNF1I7YONOz5Vy8jsEnA%2B%2FtvvO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
22,S E M A J,ialonethehonored01,https://www.tiktok.com/@ialonethehonored01,Sige Lang,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a92bb852f10da2ad69d0d0ce1cbabd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=13daf29e&x-expires=1758200400&x-signature=11b0nliCYj4o3AKAwrm9sE9pfJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
23,Bel🤸,gabryle_zerotwo,https://www.tiktok.com/@gabryle_zerotwo,😂😂😂 K,5-9-2025,0,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/66d62fc706fbdcef00e87167f0fa62bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=706042bd&x-expires=1758200400&x-signature=fNF1I7YONOz5Vy8jsEnA%2B%2FtvvO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
24,SharpPencil,makulet_tayo,https://www.tiktok.com/@makulet_tayo,Edi meaning jokes lang din ung flood control ng last admin kc binabaha pa din parang walang nagawa both admins😁,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c49a899db9de7f8d8b15493bfea6903c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5f497eb5&x-expires=1758200400&x-signature=E6DHhO5PgtZN6Ro9sASxKobbIMQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
25,Gabyplays,don.catli,https://www.tiktok.com/@don.catli,Source: trust me bro,5-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/fd181803701d6a61343d3abf0c5a402a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fb14bda8&x-expires=1758200400&x-signature=Cplk8KRaSi12s1ETSjF%2F%2ByWOqCE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
26,Bel🤸,gabryle_zerotwo,https://www.tiktok.com/@gabryle_zerotwo,Wow nagsalita ang may source 😂😂😂😭,5-9-2025,1,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/66d62fc706fbdcef00e87167f0fa62bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=706042bd&x-expires=1758200400&x-signature=fNF1I7YONOz5Vy8jsEnA%2B%2FtvvO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
27,RIO,fc_emz,https://www.tiktok.com/@fc_emz,"kala mo gumagawa lang ng movie e, tamang hinala HAHAHHAHA",5-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7f99a2024bf3263cfe0f897babb49db4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b0e831f8&x-expires=1758200400&x-signature=ya%2F6k0H%2FX%2F1OaLsc%2F6eMcDrpLew%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
28,ᴍɪᴋᴀᴢᴜᴋɪ,mkzk.08,https://www.tiktok.com/@mkzk.08,babyem follower spotted HAHAHAHAHHAI,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/54c81024cc6828910bc904edb8319aa5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f3303b61&x-expires=1758200400&x-signature=ojsfFXDx5l27E%2BFGBx%2Fi1%2FaEE3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
29,S E M A J,ialonethehonored01,https://www.tiktok.com/@ialonethehonored01,tapos ano pa?,5-9-2025,1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6a92bb852f10da2ad69d0d0ce1cbabd8~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=13daf29e&x-expires=1758200400&x-signature=11b0nliCYj4o3AKAwrm9sE9pfJM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
30,ᴍɪᴋᴀᴢᴜᴋɪ,mkzk.08,https://www.tiktok.com/@mkzk.08,"puro defend kay bbm, trabaho ayaw?",5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/54c81024cc6828910bc904edb8319aa5~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f3303b61&x-expires=1758200400&x-signature=ojsfFXDx5l27E%2BFGBx%2Fi1%2FaEE3E%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
31,Bel🤸,gabryle_zerotwo,https://www.tiktok.com/@gabryle_zerotwo,Alam mo kung magreply ka dito siguraduhin mong tao ka. 😂😂😂,5-9-2025,0,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/66d62fc706fbdcef00e87167f0fa62bf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=706042bd&x-expires=1758200400&x-signature=fNF1I7YONOz5Vy8jsEnA%2B%2FtvvO0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
32,Eg-eazy,shadyyyyyyy00,https://www.tiktok.com/@shadyyyyyyy00,Hugas kamay lang si babym kaya nag expose sya ng mga contractors,7-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/56720e7bbdfd8a81d09fa1e65c53f5dd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=80dda79f&x-expires=1758200400&x-signature=3bMwEX%2FiyCtuJnecosFdoK3M5p0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
33,sir tapos na po,kentuckyyyyyy3,https://www.tiktok.com/@kentuckyyyyyy3,sya naman talaga nasa likod nyan e,5-9-2025,10,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/edf141eec4bbe0396d20b9b6e9c907ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=031f7dfc&x-expires=1758200400&x-signature=nw66s9c0F4cLY%2FConCUOGfnfLH4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
34,user837479295,user8650886865120,https://www.tiktok.com/@user8650886865120,"mismo,kahit anong ingay ni VP dati,di talaga pinansin,dun na pumutok nung binaha na",5-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c8f77fb7f7bbd27a04059cb3b9119b86~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=385e0621&x-expires=1758200400&x-signature=qfug0il8Ceqv4S0FU9yreoy250I%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
35,micmic,micmic_mo,https://www.tiktok.com/@micmic_mo,protektado yan! ahahahah,6-9-2025,0,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/81a6724196dc1694a03b0b2d3212dd01~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=453b0680&x-expires=1758200400&x-signature=yAUTPZKm38fF%2FdGQzG9PYKIbl%2B0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
36,Tisay belle,miss_mbp,https://www.tiktok.com/@miss_mbp,Kamag-anak malakas,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/42309e337f4b037650fd2f02724c8ec4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=50854632&x-expires=1758200400&x-signature=ncn%2F0hBU2mq1jkby6R45%2Ffk0Jt0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
37,sweetie0412,chikificki0412,https://www.tiktok.com/@chikificki0412,masisira buhay nila kjng galawin haha,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/1cbcb527a7521646b254e7918150962c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ecf4f2aa&x-expires=1758200400&x-signature=IbTRda70GNtPWS8cPUonXbZ%2BtU4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
38,cesshshs0,cesshshs0,https://www.tiktok.com/@cesshshs0,Bawal banggitin 🤣,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d0c2fa36&x-expires=1758200400&x-signature=8yf7QyhXYr0MvwqFbRoo3l2bPgA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
39,ケム💛,natzumi1813,https://www.tiktok.com/@natzumi1813,"exactly...kasi nga malapit na ang botohan, kaya maging matalino sa pag boto mga kababayan ko dyan sa pinas. at always tayo mag pray para sa bansa natin ❤️🙏",5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/24f96aaaf999fe9ed2e0f40a35e0869a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=cd218686&x-expires=1758200400&x-signature=ILYpyMNZplf5vLFBD7f1loZsEhQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
40,Caramel Macchiato ✨,thedamsletteee,https://www.tiktok.com/@thedamsletteee,Cousin ngani ng presidente 😂,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7a18e41ca9bb8786a3ba8774f7235d57~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fd2ffe3f&x-expires=1758200400&x-signature=KwgjK3BE5POhSgFZtHmm5145ar4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
41,ukenamike,ukenamike,https://www.tiktok.com/@ukenamike,kamag anak eh ahhahaha,5-9-2025,0,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7354131500142428206~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=e8b46ff0&x-expires=1758200400&x-signature=BT1CuXSgCVNZQKlJXJzzKaudhUc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
42,beadandan,dandan.bea,https://www.tiktok.com/@dandan.bea,kamaganak yan ni bbm sk romualdez 😅,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8f5757bcac6eba9f7911efdf93304b75~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6286aa39&x-expires=1758200400&x-signature=V6La41KmgI5fF3FkfzgACAjG9ls%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
43,JONABODADONG,jonabodadong6,https://www.tiktok.com/@jonabodadong6,correct,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8c0fbd5856b67bb51afd69bab5cde183~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9c853736&x-expires=1758200400&x-signature=r6LRObw2mLWH6ebfL51qe8MtDu4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
44,James Ram,jamesram18,https://www.tiktok.com/@jamesram18,Hindi naman hawak ang bulacan? Si martin. Sino congressman o mayor nila dyan,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7325140783051309077~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=19b59b68&x-expires=1758200400&x-signature=EGkIjRNGuGoND4P3nZo92r7czGg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
45,EJ Regio,ejregio,https://www.tiktok.com/@ejregio,eh si baby m nag appoint or naglagay sa kanya e,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6c8104508fd75dbdaca6bfa407506e94~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4a6ffcc3&x-expires=1758200400&x-signature=XthM%2FZtG0SRrnFTL3QW1TenYwdo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
46,aila_ally💓,collegewithfriends,https://www.tiktok.com/@collegewithfriends,"Wala rin ngbbash sa asawa nya sa tiktok puro papuri pa, daan ng daan sa fyp k😂",4-9-2025,0,https://p19-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/57bd59ac282a6d36ba6e0174cba4c999~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1ede7390&x-expires=1758200400&x-signature=fyA8GXjgmqO7WTXz7bbEr99WkIE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
47,Ceanxian421,ceanxian26,https://www.tiktok.com/@ceanxian26,bnubura kse ung hate comments,5-9-2025,0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7c4efa2ea1a4c24366374573da589c4c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=88f9c8ca&x-expires=1758200400&x-signature=r9eDqaFMf0MG2rtWgDFpHA5fAXk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
48,svvv.1,sv..65,https://www.tiktok.com/@sv..65,mahirap matibag yun PINSAN NI BANGAG YUN KAYA MAKAPAL MUKHA NUN,5-9-2025,3,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/181fe0fd550f35e96662784f13e68f64~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a6050845&x-expires=1758200400&x-signature=89fEs2O90Hq8qXBfC466IsOZsyg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
49,ShortCake,shortcake6926,https://www.tiktok.com/@shortcake6926,@𝗦𝗬𝗡𝗖𝗛𝗥𝗢𝗡𝗢𝗨𝗦 𝗖𝗘𝗛 Can help,5-9-2025,1,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/48ed7e2751290758741b6bbf51c72c2d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fa71d98e&x-expires=1758200400&x-signature=eNvl5jhU6NdQfL08w8%2FZwJaXzHw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Yes,azeck,0
